编号,类别,题名,年份,期刊/会议,主要内容,主要创新点/亮点,涉及模型/方法/可迁移点,代码/模型链接,DOI,论文链接,开放PDF链接,本地PDF路径,下载状态,引用数_OpenAlex
P046,相关方法,The bone marrow endothelial progenitor cell response to septic infection.,2024,Front Immunol,,,,10.3389/fimmu.2024.1368099,https://doi.org/10.3389/fimmu.2024.1368099,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P046_2022_Deep_Learning_Based_Cerebral_Artery_Semantic_Segmentation_in_Neurosurgical_Operating_Microscope.pdf,downloaded
P047,病种影像,Targeting endoplasmic reticulum stress-induced lymphatic dysfunction for mitigating bisphosphonate-related osteonecrosis.,2024,Clin Transl Med,,,,10.1002/ctm2.70082,https://doi.org/10.1002/ctm2.70082,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P047_AI_Medical_Imaging_Paediatric_Hip_Disorders.pdf,downloaded
P048,相关方法,Large-Scale assessment of ChatGPT's performance in benign and malignant bone tumors imaging report diagnosis and its potential for clinical applications.,2024,J Bone Oncol,,,,10.1016/j.jbo.2024.100525,https://doi.org/10.1016/j.jbo.2024.100525,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P048_Bone_Marrow_Endothelial_Progenitor_Septic_Infection.pdf,downloaded
P049,病种影像,Differentiation of Native Vertebral Osteomyelitis: A Comprehensive Review of Imaging Techniques and Future Applications.,2024,Med Sci Monit,,,,10.12659/MSM.943168,https://doi.org/10.12659/MSM.943168,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P049_ER_Stress_Lymphatic_Dysfunction_Bisphosphonate_Osteonecrosis.pdf,downloaded
P050,AI方法,Differential Diagnosis of Diabetic Foot Osteomyelitis and Charcot Neuropathic Osteoarthropathy with Deep Learning Methods.,2024,J Imaging Inform Med,,,,10.1007/s10278-024-01067-0,https://doi.org/10.1007/s10278-024-01067-0,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P050_ChatGPT_Bone_Tumors_Imaging_Diagnosis.pdf,downloaded
P051,ICG荧光,Fluorescence-guided assessment of bone and soft-tissue sarcomas for predicting the efficacy of telomerase-specific oncolytic adenovirus.,2024,PLoS One,,,,10.1371/journal.pone.0298292,https://doi.org/10.1371/journal.pone.0298292,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P051_Vertebral_Osteomyelitis_Imaging_Review.pdf,downloaded
P052,ICG荧光,Application of Indocyanine Green Fluorescence Imaging in Assisting Biopsy of Musculoskeletal Tumors.,2023,Cancers (Basel),,,,10.3390/cancers15082402,https://doi.org/10.3390/cancers15082402,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P052_DL_Diabetic_Foot_Osteomyelitis_Charcot.pdf,downloaded
P053,AI方法,Machine Learning Algorithm: Texture Analysis in CNO and Application in Distinguishing CNO and Bone Marrow Growth-Related Changes on Whole-Body MRI.,2023,Diagnostics (Basel),,,,10.3390/diagnostics14010061,https://doi.org/10.3390/diagnostics14010061,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P053_Fluorescence_Bone_Soft_Tissue_Sarcomas_Telomerase.pdf,downloaded
P054,AI方法,Application of symmetry evaluation to deep learning algorithm in detection of mastoiditis on mastoid radiographs.,2023,Sci Rep,,,,10.1038/s41598-023-32147-w,https://doi.org/10.1038/s41598-023-32147-w,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P054_ICG_Fluorescence_Biopsy_Musculoskeletal_Tumors.pdf,downloaded
P055,ICG荧光,Insights into S. aureus-Induced Bone Deformation in a Mouse Model of Chronic Osteomyelitis Using Fluorescence and Raman Imaging.,2023,Int J Mol Sci,,,,10.3390/ijms24119762,https://doi.org/10.3390/ijms24119762,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P055_ML_Texture_Analysis_CNO_MRI.pdf,downloaded
P056,AI方法,Automated segmentation of magnetic resonance bone marrow signal: a feasibility study.,2022,Pediatr Radiol,,,,10.1007/s00247-021-05270-x,https://doi.org/10.1007/s00247-021-05270-x,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P056_Symmetry_DL_Mastoiditis_Detection.pdf,downloaded
P057,AI方法,Automated description of the mandible shape by deep learning.,2021,Int J Comput Assist Radiol Surg,,,,10.1007/s11548-021-02474-2,https://doi.org/10.1007/s11548-021-02474-2,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P057_S_aureus_Bone_Chronic_Osteomyelitis_Fluorescence.pdf,downloaded
P058,AI方法,Performance of deep learning to detect mastoiditis using multiple conventional radiographs of mastoid.,2020,PLoS One,,,,10.1371/journal.pone.0241796,https://doi.org/10.1371/journal.pone.0241796,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P058_Automated_MRI_Bone_Marrow_Segmentation.pdf,downloaded
P059,ICG荧光,The application of fluorescence techniques in meningioma surgery-a review.,2019,Neurosurg Rev,,,,10.1007/s10143-018-01062-4,https://doi.org/10.1007/s10143-018-01062-4,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P059_Automated_Mandible_Shape_Deep_Learning.pdf,downloaded
P060,ICG荧光,吲哚菁绿荧光显像技术在骨与软组织肿瘤治疗中的应用进展（综述）,2026,中国骨与关节杂志,综述ICG荧光显像在骨与软组织肿瘤治疗中的应用。涵盖GCT/骨肉瘤/Ewing肉瘤/脊柱肿瘤/软组织肉瘤/转移性骨肿瘤术中应用、骨髓炎辅助诊断、靶向ICG偶联物和NIR-II成像未来方向。,直接论证ICG在骨肿瘤术中应用的安全性和有效性；提到ICG在骨髓炎诊断中的实验性应用；提供ICG剂量和成像系统参数汇总。,ICG近红外荧光成像+骨肿瘤手术导航+骨髓炎诊断+AI融合展望。,,https://doi.org/10.3969/j.issn.2095-252X.2026.01.007,https://doi.org/10.3969/j.issn.2095-252X.2026.01.007,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P060_DL_Mastoiditis_Radiographs.pdf,existing_local_copied,
